id_posicion_final,anio,posicion,id_seleccion,seleccion
1,1930,1,80,Uruguay
2,1930,2,6,Argentina
3,1930,3,35,Estados Unidos
4,1930,4,,Yugoslavia
5,1930,5,17,Chile
6,1930,6,11,Brasil
7,1930,7,36,Francia
8,1930,8,68,Rumania
9,1930,9,62,Paraguay
10,1930,10,63,Perú
11,1930,11,13,Bélgica
12,1930,12,9,Bolivia
13,1930,13,56,México
14,1934,1,51,Italia
15,1934,2,,Checoslovaquia
16,1934,3,1,Alemania
17,1934,4,8,Austria
18,1934,5,34,España
19,1934,6,42,Hungría
20,1934,7,74,Suiza
21,1934,8,73,Suecia
22,1934,9,6,Argentina
23,1934,9,36,Francia
24,1934,9,60,Paises Bajos
25,1934,12,68,Rumania
26,1934,13,28,Egipto
27,1934,14,11,Brasil
28,1934,15,13,Bélgica
29,1934,16,35,Estados Unidos
30,1938,1,51,Italia
31,1938,2,42,Hungría
32,1938,3,11,Brasil
33,1938,4,73,Suecia
34,1938,5,,Checoslovaquia
35,1938,6,74,Suiza
36,1938,7,25,Cuba
37,1938,8,36,Francia
38,1938,9,68,Rumania
39,1938,10,1,Alemania
40,1938,11,64,Polonia
41,1938,12,58,Noruega
42,1938,13,13,Bélgica
43,1938,14,60,Paises Bajos
44,1938,15,,Indias Orientales Holand.
45,1938,16,8,Austria
46,1950,1,80,Uruguay
47,1950,2,11,Brasil
48,1950,3,73,Suecia
49,1950,4,34,España
50,1950,5,,Yugoslavia
51,1950,6,74,Suiza
52,1950,7,51,Italia
53,1950,8,44,Inglaterra
54,1950,9,17,Chile
55,1950,10,35,Estados Unidos
56,1950,11,62,Paraguay
57,1950,12,56,México
58,1950,13,9,Bolivia
59,1954,1,,Alemania Occidental
60,1954,2,42,Hungría
61,1954,3,8,Austria
62,1954,4,80,Uruguay
63,1954,5,74,Suiza
64,1954,6,11,Brasil
65,1954,7,44,Inglaterra
66,1954,8,,Yugoslavia
67,1954,9,36,Francia
68,1954,10,51,Italia
69,1954,11,77,Turquía
70,1954,12,13,Bélgica
71,1954,13,56,México
72,1954,14,,Checoslovaquia
73,1954,15,31,Escocia
74,1954,16,21,Corea del Sur
75,1958,1,11,Brasil
76,1958,2,73,Suecia
77,1958,3,36,Francia
78,1958,4,,Alemania Occidental
79,1958,5,37,Gales
80,1958,6,,URSS
81,1958,7,47,Irlanda del Norte
82,1958,8,,Yugoslavia
83,1958,9,,Checoslovaquia
84,1958,10,42,Hungría
85,1958,11,44,Inglaterra
86,1958,12,62,Paraguay
87,1958,13,6,Argentina
88,1958,14,31,Escocia
89,1958,15,8,Austria
90,1958,16,56,México
91,1962,1,11,Brasil
92,1962,2,,Checoslovaquia
93,1962,3,17,Chile
94,1962,4,,Yugoslavia
95,1962,5,42,Hungría
96,1962,6,,URSS
97,1962,7,,Alemania Occidental
98,1962,8,44,Inglaterra
99,1962,9,51,Italia
100,1962,10,6,Argentina
101,1962,11,56,México
102,1962,12,34,España
103,1962,13,80,Uruguay
104,1962,14,19,Colombia
105,1962,15,12,Bulgaria
106,1962,16,74,Suiza
107,1966,1,44,Inglaterra
108,1966,2,,Alemania Occidental
109,1966,3,65,Portugal
110,1966,4,,URSS
111,1966,5,6,Argentina
112,1966,6,42,Hungría
113,1966,7,80,Uruguay
114,1966,8,20,Corea del Norte
115,1966,9,51,Italia
116,1966,10,34,España
117,1966,11,11,Brasil
118,1966,12,56,México
119,1966,13,17,Chile
120,1966,13,36,Francia
121,1966,15,12,Bulgaria
122,1966,16,74,Suiza
123,1970,1,11,Brasil
124,1970,2,51,Italia
125,1970,3,,Alemania Occidental
126,1970,4,80,Uruguay
127,1970,5,,URSS
128,1970,6,56,México
129,1970,7,63,Perú
130,1970,8,44,Inglaterra
131,1970,9,73,Suecia
132,1970,10,13,Bélgica
133,1970,10,68,Rumania
134,1970,12,50,Israel
135,1970,13,12,Bulgaria
136,1970,14,55,Marruecos
137,1970,15,,Checoslovaquia
138,1970,16,29,El Salvador
139,1974,1,,Alemania Occidental
140,1974,2,60,Paises Bajos
141,1974,3,64,Polonia
142,1974,4,11,Brasil
143,1974,5,73,Suecia
144,1974,6,2,Alemania Oriental
145,1974,7,,Yugoslavia
146,1974,8,6,Argentina
147,1974,9,31,Escocia
148,1974,10,51,Italia
149,1974,11,17,Chile
150,1974,12,12,Bulgaria
151,1974,13,80,Uruguay
152,1974,14,7,Australia
153,1974,15,40,Haití
154,1974,16,,Zaire
155,1978,1,6,Argentina
156,1978,2,60,Paises Bajos
157,1978,3,11,Brasil
158,1978,4,51,Italia
159,1978,5,64,Polonia
160,1978,6,,Alemania Occidental
161,1978,7,8,Austria
162,1978,8,63,Perú
163,1978,9,78,Túnez
164,1978,10,34,España
165,1978,11,31,Escocia
166,1978,12,36,Francia
167,1978,13,73,Suecia
168,1978,14,48,Irán
169,1978,15,42,Hungría
170,1978,16,56,México
